StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,Gender,Age,Residence,Edu,Income,EPP,EAP,EPI,EAI,Luck_fair,Talent_fair,Effort_fair,Luck_control,Talent_control,Effort_control,Redist_pref,Polpref,uid,Ex Ante Personal,Ex Ante Impersonal,Ex Post Personal,Ex Post Impersonal,Payment High worker,Payment Low worker,Redistribute
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Please read the instructions below carefully General instructions: The results from this survey will be used in a research project. It is therefore important that you carefully read and follow all instructions. Note that you will remain anonymous throughout the survey. If you have any questions regarding this survey, you may contact thechoicelab@nhh.no.   I understand and I want to participate:",What is your sex?,How old are you?,"50 States, D.C. and Puerto Rico",What is the highest level of education you have completed?,What is your household's combined yearly income (gross income before taxes are deducted)?,"In contrast to a typical survey question, you will now make a choice that may have real consequences for two other individuals. We will randomly select and implement the decision of every tenth respondent.     Some days ago, two individuals, let us call them A and B, were recruited to do an assignment. They did not know the identity of each other, and they were to work independently on the assignment. Before A and B decided whether to do the assignment, they learned how their earnings would be determined. They also learned that a third person would have the opportunity to redistribute earnings between them.     You are the third person. We will therefore explain to you how A’s and B’s earnings were determined:     When A and B were recruited, they were asked to report their date of birth. One of their dates of birth was randomly drawn and the individual with this birth date would earn 8 USD for doing the assignment. The individual whose date of birth was not drawn would earn 2 USD for doing the assignment. If an individual did not do the assignment, that individual would earn nothing.     The random draw selected the date of birth of A for the high earnings, but A and B were not informed about this before they decided whether to do the assignment. Both chose to do the assignment. A thus earned 8 USD and B earned 2 USD. They were informed about this after they had completed the assignment.     We now ask you to choose whether to redistribute earnings between the two individuals. A and B will receive the payments within a few days.     Please state which of the following alternatives you choose:","In contrast to a typical survey question, you will now make a choice that may have real consequences for two other individuals. We will randomly select and implement the decision of every tenth respondent.     Some days ago, two individuals, let us call them A and B, were recruited to do an assignment. They did not know the identity of each other, and they were to work independently on the assignment. Before A and B decided whether to do the assignment, they learned how their earnings would be determined. They also learned that a third person would have the opportunity to redistribute earnings between them.     You are the third person. We will therefore explain to you how A’s and B’s earnings were determined:     When A and B were recruited, they were asked to report their date of birth. One of their dates of birth was randomly drawn and the individual with this birth date would earn 8 USD for doing the assignment. The individual whose date of birth was not drawn would earn 2 USD for doing the assignment. If an individual did not do the assignment, that individual would earn nothing.     The random draw selected the date of birth of A for the high earnings. A and B were informed about this before they decided whether to do the assignment. Both chose to do the assignment. A thus earned 8 USD and B earned 2 USD.     We now ask you to choose whether to redistribute earnings between the two individuals. A and B will receive the payments within a few days.     Please state which of the following alternatives you choose:","In contrast to a typical survey question, you will now make a choice that may have real consequences for two other individuals. We will randomly select and implement the decision of every tenth respondent.     Some days ago, two individuals, let us call them A and B, were recruited to do an assignment. They did not know the identity of each other, and they were to work independently on the assignment. Before A and B decided whether to do the assignment, they learned how their earnings would be determined. They also learned that a third person would have the opportunity to redistribute earnings between them.     You are the third person. We will therefore explain to you how A’s and B’s earnings were determined:     When A and B were recruited, they were assigned a participation number. One of their participation numbers was randomly drawn and the individual with this participation number would earn 8 USD for doing the assignment. The individual whose participation number was not drawn would earn 2 USD for doing the assignment. If an individual did not do the assignment, that individual would earn nothing.     The random draw selected the participation number of A for the high earnings, but A and B were not informed about this before they decided whether to do the assignment. Both chose to do the assignment. A thus earned 8 USD and B earned 2 USD. They were informed about this after they had completed the assignment.     We now ask you to choose whether to redistribute earnings between the two individuals. A and B will receive the payments within a few days.     Please state which of the following alternatives you choose:","In contrast to a typical survey question, you will now make a choice that may have real consequences for two other individuals. We will randomly select and implement the decision of every tenth respondent.     Some days ago, two individuals, let us call them A and B, were recruited to do an assignment. They did not know the identity of each other, and they were to work independently on the assignment. Before A and B decided whether to do the assignment, they learned how their earnings would be determined. They also learned that a third person would have the opportunity to redistribute earnings between them.     You are the third person. We will therefore explain to you how A’s and B’s earnings were determined:     When A and B were recruited, they were assigned a participation number. One of their participation numbers was randomly drawn and the individual with this participation number would earn 8 USD for doing the assignment. The individual whose participation number was not drawn would earn 2 USD for doing the assignment. If an individual did not do the assignment, that individual would earn nothing.     The random draw selected the participation number of A for the high earnings. A and B were informed about this before they decided whether to do the assignment. Both chose to do the assignment. A thus earned 8 USD and B earned 2 USD.     We now ask you to choose whether to redistribute earnings between the two individuals. A and B will receive the payments within a few days.     Please state which of the following alternatives you choose:","We would now like you to indicate to what extent you find it fair that the following factors determine a person's income. 0 means that you agree completely with the statement on the left, 10 means that you agree completely with the statement on the right, and the numbers in between indicate the extent to which you agree or disagree with the statements.",Talent_fair,Effort_fair,"We now would like you to indicate to what extent you believe that the following factors are beyond or within individual control? 0 means that you agree completely with the statement on the left, 10 means that you agree completely with the statement on the right, and the numbers in between indicate the extent to which you agree or disagree with the statements.",Talent_control,Effort_control,"Please indicate to what extent you agree with the following statement:""Society should aim to equalise incomes""",Would you describe yourself as politically on the ‘left-wing’ or the ‘right-wing’?,uid,Ex Ante Personal,Ex Ante Impersonal,Ex Post Personal,Ex Post Impersonal,Payment High worker,Payment Low worker,Redistribute
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID19""}","{""ImportId"":""QID2""}","{""ImportId"":""QID20""}","{""ImportId"":""QID18""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID24""}","{""ImportId"":""QID37""}","{""ImportId"":""QID32""}","{""ImportId"":""QID38""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""uid""}","{""ImportId"":""Ex Ante Personal""}","{""ImportId"":""Ex Ante Impersonal""}","{""ImportId"":""Ex Post Personal""}","{""ImportId"":""Ex Post Impersonal""}","{""ImportId"":""Payment High worker""}","{""ImportId"":""Payment Low worker""}","{""ImportId"":""Redistribute""}"
2017-11-22 15:44:28,2017-11-22 15:45:36,0,100,68,1,2017-11-22 15:45:37,R_3wvvHhvc87hZkQx,anonymous,EN,1,0,25,11,5,2,2,,,,3,6,4,5,3,3,3,4,196544397,0,0,1,0,6,4,2
2017-11-22 15:44:29,2017-11-22 15:46:08,0,100,98,1,2017-11-22 15:46:08,R_2wbryIhe5FytrMS,anonymous,EN,1,0,30,33,6,2,,,,4,8,6,7,8,7,6,2,2,196544389,0,1,0,0,4,6,4
2017-11-22 15:44:30,2017-11-22 15:46:12,0,100,102,1,2017-11-22 15:46:13,R_2QR05f7LVHVgWg7,anonymous,EN,1,1,30,1,5,2,,,,4,2,10,10,0,0,0,2,3,196544409,0,1,0,0,4,6,4
2017-11-22 15:44:32,2017-11-22 15:46:19,0,100,107,1,2017-11-22 15:46:20,R_9ogA7OFFB2E2lW1,anonymous,EN,1,1,33,45,2,4,3,,,,8,1,7,6,6,10,3,3,196544417,0,0,1,0,5,5,3
2017-11-22 15:44:38,2017-11-22 15:46:25,0,100,106,1,2017-11-22 15:46:25,R_338xWe9Lr2sEnfb,anonymous,EN,1,0,30,5,5,1,5,,,,1,4,3,3,9,1,4,3,196544431,0,0,1,0,3,7,5
2017-11-22 15:44:33,2017-11-22 15:46:28,0,100,115,1,2017-11-22 15:46:29,R_w16kp2LDLzi0MY9,anonymous,EN,1,1,35,10,6,2,,3,,,5,5,5,5,5,5,3,3,196544427,1,0,0,0,5,5,3
2017-11-22 15:44:27,2017-11-22 15:46:56,0,100,148,1,2017-11-22 15:46:57,R_2ZX2horrqYf5uK8,anonymous,EN,1,1,40,10,3,1,,,3,,2,2,2,3,3,3,1,4,196544391,0,0,0,1,5,5,3
2017-11-22 15:44:27,2017-11-22 15:47:03,0,100,155,1,2017-11-22 15:47:04,R_294jSmVjpI6xGQR,anonymous,EN,1,1,65,50,3,3,,0,,,6,6,3,4,5,8,4,3,196544387,1,0,0,0,8,2,0
